一级分类,品名,最低价,最高价,平均价,产地,单位,发布日期
蔬菜,番茄,2.0,2.5,2.25,鲁,斤,2022-12-31
蔬菜,黄瓜,2.7,3.2,2.95,鲁辽云,斤,2022-12-31
蔬菜,黄瓜,3.5,4.5,4.0,冀,斤,2022-12-31
蔬菜,小黄瓜,4.5,5.5,5.0,辽鲁,斤,2022-12-31
蔬菜,茄子,0.6,2.7,1.65,冀鲁蒙云,斤,2022-12-31
蔬菜,长茄,1.0,2.0,1.5,冀辽,斤,2022-12-31
蔬菜,线茄,2.5,6.0,4.25,冀京闽,斤,2022-12-31
蔬菜,广茄,3.0,4.7,3.85,云京,斤,2022-12-31
蔬菜,冬瓜,0.6,0.8,0.7,豫桂,斤,2022-12-31
蔬菜,冬瓜,0.3,0.4,0.35,苏,斤,2022-12-31
蔬菜,毛冬瓜,0.7,0.8,0.75,豫,斤,2022-12-31
蔬菜,架豆,6.0,9.5,7.75,冀云闽,斤,2022-12-31
蔬菜,豆王,5.0,6.8,5.9,辽云闽,斤,2022-12-31
蔬菜,扁豆,5.0,6.8,5.9,冀鲁,斤,2022-12-31
蔬菜,豇豆,4.5,6.5,5.5,云闽桂海,斤,2022-12-31
蔬菜,白不老,4.8,6.8,5.8,辽鲁闽,斤,2022-12-31
水果,板栗,3.5,3.8,3.65,,斤,2022-12-31
水果,油栗,7.0,10.0,8.5,,斤,2022-12-31
水果,木瓜,4.8,5.0,4.9,,斤,2022-12-31
水果,柿饼,6.0,9.0,7.5,,斤,2022-12-31
水果,磨盘柿子,1.8,2.3,2.05,,斤,2022-12-31
水果,甘蔗,1.8,2.0,1.9,,斤,2022-12-31
水果,柠檬,7.0,8.0,7.5,,斤,2022-12-31
水果,石榴,4.0,6.0,5.0,,斤,2022-12-31
水果,山楂,3.0,5.0,4.0,,斤,2022-12-31
水果,山楂,4.0,6.0,5.0,,斤,2022-12-31
水果,姑娘果（灯笼果）,5.0,15.0,10.0,,斤,2022-12-31
水果,鸭梨,3.8,4.2,4.0,,斤,2022-12-31
水果,雪花梨,4.5,5.0,4.75,,斤,2022-12-31
水果,皇冠梨,5.2,5.8,5.5,,斤,2022-12-31
水果,南果梨,3.0,5.5,4.25,,斤,2022-12-31
水果,丰水梨,4.5,5.0,4.75,,斤,2022-12-31
水果,酥梨,3.5,4.0,3.75,,斤,2022-12-31
水果,红香酥梨,2.5,3.5,3.0,,斤,2022-12-31
水果,库尔勒香梨,6.0,7.0,6.5,,斤,2022-12-31
水果,红啤梨,3.5,4.5,4.0,,斤,2022-12-31
水果,京白梨,2.5,3.5,3.0,,斤,2022-12-31
